project_name,total_units,developer,tenure,top,district,source
1953,58,Oxley Amethyst,Freehold,,D08,EdgeProp
35 GILSTEAD,70,TEE Land & TG Development,Freehold,,D11,EdgeProp
8@BT,158,Bukit Sembawang Estates,99 yrs lease commencing from 2023,2028,D21,EdgeProp
AMBER HOUSE,105,Far East Organization,Freehold,2029,D15,EdgeProp
AMO RESIDENCE,372,UOL Group & SingLand,99 yrs lease commencing from 2021,2025,D20,EdgeProp
ARDOR RESIDENCE,35,Nanshan Group,Freehold,,D15,EdgeProp
ARINA EAST RESIDENCES,107,ZACD Group,Freehold,,D15,EdgeProp
ARTISAN 8,34,Apex Asia,Freehold,,D20,EdgeProp
ATLASSIA,31,K16 Development,Freehold,,D15,EdgeProp
AUREA,188,Far East Organization & Perennial Holdings,99 yrs lease commencing from 2024,2029,D07,EdgeProp
BAGNALL HAUS,113,Roxy-Pacific Holdings,Freehold,,D16,EdgeProp
BARTLEY VUE,115,Wee Hur Holdings,99 yrs lease commencing from 2020,2024,D19,EdgeProp
BAYWIND RESIDENCES,24,ABR Holdings & LWH Holdings,Freehold,,D15,EdgeProp
BLOOMSBURY RESIDENCES,358,Qingjian Realty & Forsea Holdings,99 yrs lease commencing from 2024,2028,D05,EdgeProp
BLOSSOMS BY THE PARK,275,EL Development,99 yrs lease commencing from 2022,2027,D05,EdgeProp
CAIRNHILL 16,39,Tiong Seng Holdings & Ocean Sky,Freehold,,D09,EdgeProp
CANBERRA CRESCENT RESIDENCES,376,Kheng Leong & Low Keng Huat,99 yrs lease commencing from 2024,,D27,EdgeProp
CANNINGHILL PIERS,696,CDL & CapitaLand Development,99 yrs lease commencing from 2021,2026,D06,EdgeProp
CHUAN PARK,916,Kingsford Development,99 yrs lease commencing from 2024,2028,D19,EdgeProp
CLAYDENCE,28,Hong How & Marrion Capital,Freehold,,D15,EdgeProp
DALVEY HAUS,17,KOP Properties & Low Keng Huat,Freehold,,D10,EdgeProp
ELTA,501,MCL Land & CSC Land Group,99 yrs lease commencing from 2024,2028,D05,EdgeProp
EMERALD OF KATONG,846,Sim Lian Group,99 yrs lease commencing from 2023,2028,D15,EdgeProp
